station,line,towards,countdown,time
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 14, 24, 34, 44, 54, 64]",1638525762.8047671
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 26, 37, 47, 57, 67]",1638525762.8047671
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525762.8047671
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525762.8047671
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525762.8047671
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525762.8047671
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[7, 15, 22, 31, 37, 44, 52, 59, 67]",1638525762.8047671
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525762.8047671
Längenfeldgasse U,12A,Eichenstraße,"[7, 16, 26, 36, 46, 56, 66]",1638525773.1590152
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 12, 22, 32, 42, 52, 62]",1638525773.1590152
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 12, 14, 16, 27, 34, 42, 49, 57, 64]",1638525773.1590152
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 11, 18, 27, 32, 40, 47, 55, 62, 69]",1638525773.1590152
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 14, 24, 34, 44, 54, 64]",1638525773.1590152
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 17, 26, 37, 47, 57, 67]",1638525773.1590152
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525773.1590152
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525773.1590152
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525773.1590152
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525773.1590152
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[7, 15, 22, 31, 37, 45, 52, 59, 67]",1638525773.1590152
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 7, 13, 22, 29, 37, 44, 52, 59, 67]",1638525773.1590152
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 25, 35, 45, 55, 65]",1638525783.5243082
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 12, 22, 32, 42, 52, 62]",1638525783.5243082
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 11, 14, 16, 26, 34, 41, 49, 56, 64]",1638525783.5243082
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 11, 18, 27, 32, 39, 47, 54, 62, 69, 69]",1638525783.5243082
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 14, 24, 34, 44, 54, 64]",1638525783.5243082
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 17, 26, 37, 47, 57, 67]",1638525783.5243082
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 8, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525783.5243082
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525783.5243082
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525783.5243082
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525783.5243082
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[7, 15, 21, 31, 36, 45, 51, 58, 66]",1638525783.5243082
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 7, 13, 21, 28, 36, 43, 51, 58, 66]",1638525783.5243082
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 25, 35, 45, 55, 65]",1638525793.8912761
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 12, 22, 32, 42, 52, 62]",1638525793.8912761
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 11, 14, 16, 26, 34, 41, 49, 56, 64]",1638525793.8912761
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 11, 18, 27, 32, 39, 47, 54, 62, 69, 69]",1638525793.8912761
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 14, 24, 34, 44, 54, 64]",1638525793.8912761
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 18, 25, 37, 47, 57, 67]",1638525793.8912761
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 8, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525793.8912761
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525793.8912761
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525793.8912761
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525793.8912761
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[7, 14, 21, 31, 36, 45, 51, 58, 66]",1638525793.8912761
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 7, 13, 21, 28, 36, 43, 51, 58, 66]",1638525793.8912761
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 25, 35, 45, 55, 65]",1638525804.2347567
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 12, 22, 32, 42, 52, 62]",1638525804.2347567
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 11, 14, 16, 26, 34, 41, 49, 56, 64]",1638525804.2347567
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 10, 18, 27, 32, 39, 47, 54, 62, 69, 69]",1638525804.2347567
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 14, 24, 34, 44, 54, 64]",1638525804.2347567
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 25, 37, 47, 57, 67]",1638525804.2347567
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 8, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525804.2347567
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525804.2347567
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525804.2347567
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525804.2347567
