station,line,towards,countdown,time
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[3, 14, 24, 34, 44, 54, 64]",1638528190.1114094
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 28, 37, 47, 57, 64]",1638528190.1114094
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528190.1114094
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528190.1114094
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528190.1114094
Längenfeldgasse,U6,SIEBENHIRTEN,"[4, 8, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638528190.1114094
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 20, 26, 34, 41, 48, 56, 63]",1638528190.1114094
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 12, 18, 26, 33, 41, 48, 56, 63]",1638528190.1114094
Längenfeldgasse U,12A,Eichenstraße,"[6, 16, 25, 35, 45, 55, 65]",1638528200.4981275
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[1, 11, 21, 32, 42, 52, 62]",1638528200.4981275
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 16, 24, 31, 39, 46, 54, 61, 67, 69]",1638528200.4981275
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 7, 14, 22, 27, 37, 44, 52, 59, 67]",1638528200.4981275
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 14, 24, 34, 44, 54, 64]",1638528200.4981275
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 17, 28, 37, 47, 57, 64]",1638528200.4981275
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528200.4981275
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528200.4981275
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528200.4981275
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638528200.4981275
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 20, 26, 34, 41, 48, 56, 63]",1638528200.4981275
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 12, 18, 26, 33, 41, 48, 56, 63]",1638528200.4981275
Längenfeldgasse U,12A,Eichenstraße,"[6, 16, 25, 35, 45, 55, 65]",1638528210.873745
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638528210.873745
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 16, 23, 31, 38, 46, 53, 61, 67, 68]",1638528210.873745
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 6, 14, 21, 26, 36, 44, 51, 59, 66]",1638528210.873745
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528210.873745
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 28, 36, 46, 56, 63]",1638528210.873745
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528210.873745
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528210.873745
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528210.873745
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638528210.873745
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 20, 26, 33, 41, 48, 56, 63]",1638528210.873745
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 18, 26, 33, 41, 48, 56, 63]",1638528210.873745
Längenfeldgasse U,12A,Eichenstraße,"[6, 16, 25, 35, 45, 55, 65]",1638528221.3022382
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638528221.3022382
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 16, 23, 31, 38, 46, 53, 61, 67, 68]",1638528221.3022382
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 6, 14, 21, 26, 36, 44, 51, 59, 66]",1638528221.3022382
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528221.3022382
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 16, 28, 36, 46, 56, 63]",1638528221.3022382
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528221.3022382
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528221.3022382
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528221.3022382
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638528221.3022382
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 11, 19, 26, 33, 41, 48, 56, 63]",1638528221.3022382
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 18, 26, 33, 41, 48, 56, 63]",1638528221.3022382
Längenfeldgasse U,12A,Eichenstraße,"[6, 16, 25, 35, 45, 55, 65]",1638528231.6719482
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638528231.6719482
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[1, 9, 16, 23, 31, 38, 46, 53, 61, 67, 68]",1638528231.6719482
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 21, 26, 36, 44, 51, 59, 66]",1638528231.6719482
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528231.6719482
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 16, 28, 36, 46, 56, 63]",1638528231.6719482
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528231.6719482
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638528231.6719482
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528231.6719482
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638528231.6719482
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 11, 19, 26, 33, 41, 48, 56, 63]",1638528231.6719482
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 18, 26, 33, 41, 48, 56, 63]",1638528231.6719482
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 24, 34, 44, 54, 64]",1638528242.0819266
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638528242.0819266
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 15, 23, 30, 38, 45, 53, 60, 66, 68]",1638528242.0819266
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 21, 26, 36, 43, 51, 58, 66]",1638528242.0819266
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528242.0819266
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 16, 27, 36, 46, 56, 63]",1638528242.0819266
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528242.0819266
Längenfeldgasse,U4,HÜTTELDORF,"[1, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528242.0819266
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528242.0819266
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528242.0819266
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 11, 19, 25, 33, 40, 47, 55, 62]",1638528242.0819266
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 17, 25, 32, 40, 47, 55, 62]",1638528242.0819266
Längenfeldgasse U,12A,Eichenstraße,"[5, 15, 24, 34, 44, 54, 64]",1638528252.3894777
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 21, 31, 41, 51, 61]",1638528252.3894777
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 15, 23, 30, 38, 45, 53, 60, 66, 68]",1638528252.3894777
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 14, 21, 26, 36, 43, 51, 58, 66]",1638528252.3894777
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528252.3894777
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 15, 27, 36, 46, 56, 63]",1638528252.3894777
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528252.3894777
Längenfeldgasse,U4,HÜTTELDORF,"[1, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528252.3894777
Längenfeldgasse,U6,FLORIDSDORF,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528252.3894777
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528252.3894777
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 11, 19, 25, 33, 40, 47, 55, 62]",1638528252.3894777
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 17, 25, 32, 40, 47, 55, 62]",1638528252.3894777
Längenfeldgasse U,12A,Eichenstraße,"[5, 15, 24, 34, 44, 54, 64]",1638528262.781747
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 21, 31, 41, 51, 61]",1638528262.781747
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 9, 15, 23, 30, 38, 45, 53, 60, 66, 68]",1638528262.781747
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 14, 21, 26, 36, 43, 51, 58, 66]",1638528262.781747
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638528262.781747
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 16, 27, 36, 46, 56, 63]",1638528262.781747
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528262.781747
Längenfeldgasse,U4,HÜTTELDORF,"[1, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528262.781747
Längenfeldgasse,U6,FLORIDSDORF,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528262.781747
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528262.781747
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 10, 19, 25, 33, 40, 47, 55, 62]",1638528262.781747
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[3, 11, 17, 25, 32, 40, 47, 55, 62]",1638528262.781747
Längenfeldgasse U,12A,Eichenstraße,"[5, 15, 24, 34, 44, 54, 64]",1638528273.1309311
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 20, 30, 40, 50, 60]",1638528273.1309311
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[1, 9, 14, 22, 30, 37, 45, 52, 60, 66, 67]",1638528273.1309311
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 25, 35, 43, 50, 58, 65]",1638528273.1309311
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 12, 22, 32, 42, 52, 62]",1638528273.1309311
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 27, 35, 45, 55, 62]",1638528273.1309311
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528273.1309311
Längenfeldgasse,U4,HÜTTELDORF,"[1, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528273.1309311
Längenfeldgasse,U6,FLORIDSDORF,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528273.1309311
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528273.1309311
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 10, 19, 25, 33, 40, 47, 55, 62]",1638528273.1309311
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[2, 11, 17, 25, 32, 40, 47, 55, 62]",1638528273.1309311
Längenfeldgasse U,12A,Eichenstraße,"[5, 15, 24, 34, 44, 54, 64]",1638528283.4850466
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 9, 20, 30, 40, 50, 60]",1638528283.4850466
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[1, 8, 14, 22, 30, 37, 45, 52, 60, 66, 67]",1638528283.4850466
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 25, 35, 43, 50, 58, 65]",1638528283.4850466
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 12, 22, 32, 42, 52, 62]",1638528283.4850466
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 26, 35, 45, 55, 62]",1638528283.4850466
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528283.4850466
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528283.4850466
Längenfeldgasse,U6,FLORIDSDORF,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528283.4850466
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528283.4850466
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 10, 18, 25, 32, 40, 47, 55, 62]",1638528283.4850466
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[2, 10, 17, 25, 32, 40, 47, 55, 62]",1638528283.4850466
Längenfeldgasse U,12A,Eichenstraße,"[5, 14, 24, 34, 44, 54, 64]",1638528293.818831
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 9, 20, 30, 40, 50, 60]",1638528293.818831
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 8, 14, 22, 30, 37, 45, 52, 60, 66, 67]",1638528293.818831
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 13, 20, 25, 35, 43, 50, 58, 65]",1638528293.818831
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638528293.818831
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 26, 35, 45, 55, 62]",1638528293.818831
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528293.818831
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638528293.818831
Längenfeldgasse,U6,FLORIDSDORF,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528293.818831
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528293.818831
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 10, 18, 25, 32, 40, 47, 55, 62]",1638528293.818831
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[2, 10, 17, 25, 32, 40, 47, 55, 62]",1638528293.818831
Längenfeldgasse U,12A,Eichenstraße,"[5, 14, 23, 33, 43, 53, 63]",1638528304.1299682
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 9, 20, 30, 40, 50, 60]",1638528304.1299682
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 8, 14, 22, 29, 37, 44, 52, 59, 65, 67]",1638528304.1299682
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 13, 20, 25, 35, 42, 50, 57, 65]",1638528304.1299682
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638528304.1299682
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 25, 35, 45, 55, 62, 69]",1638528304.1299682
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528304.1299682
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528304.1299682
Längenfeldgasse,U6,FLORIDSDORF,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638528304.1299682
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528304.1299682
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 10, 18, 24, 32, 39, 46, 54, 61]",1638528304.1299682
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[2, 10, 16, 24, 31, 39, 46, 54, 61]",1638528304.1299682
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638528314.4547276
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 8, 19, 30, 40, 50, 60]",1638528314.4547276
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 8, 13, 22, 29, 37, 44, 52, 59, 65, 67]",1638528314.4547276
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 13, 20, 25, 35, 42, 50, 57, 65]",1638528314.4547276
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 12, 22, 32, 42, 52, 62]",1638528314.4547276
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 25, 35, 45, 55, 62, 69]",1638528314.4547276
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528314.4547276
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528314.4547276
Längenfeldgasse,U6,FLORIDSDORF,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638528314.4547276
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528314.4547276
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 10, 18, 24, 32, 39, 46, 54, 61]",1638528314.4547276
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 10, 16, 24, 31, 39, 46, 54, 61]",1638528314.4547276
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638528324.787981
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 8, 19, 30, 40, 50, 60]",1638528324.787981
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 7, 13, 22, 29, 37, 44, 52, 59, 65, 67]",1638528324.787981
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 13, 20, 25, 35, 42, 50, 57, 65]",1638528324.787981
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638528324.787981
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 25, 35, 45, 55, 62, 69]",1638528324.787981
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528324.787981
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528324.787981
Längenfeldgasse,U6,FLORIDSDORF,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638528324.787981
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528324.787981
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 9, 18, 24, 32, 39, 46, 54, 61, 69]",1638528324.787981
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 10, 16, 24, 31, 39, 46, 54, 61, 69]",1638528324.787981
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638528335.1631353
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[8, 19, 29, 39, 49, 59, 69]",1638528335.1631353
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 7, 13, 21, 29, 36, 44, 51, 59, 65, 66]",1638528335.1631353
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[4, 13, 19, 24, 34, 42, 49, 57, 64]",1638528335.1631353
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61]",1638528335.1631353
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 25, 34, 44, 54, 61, 69]",1638528335.1631353
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528335.1631353
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528335.1631353
Längenfeldgasse,U6,FLORIDSDORF,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638528335.1631353
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528335.1631353
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 9, 18, 24, 32, 39, 46, 54, 61, 69]",1638528335.1631353
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 10, 16, 24, 31, 39, 46, 54, 61, 69]",1638528335.1631353
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638528345.4917228
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[8, 19, 29, 39, 49, 59, 69]",1638528345.4917228
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[7, 13, 21, 29, 36, 44, 51, 59, 65, 66]",1638528345.4917228
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[4, 12, 19, 24, 34, 42, 49, 57, 64]",1638528345.4917228
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61]",1638528345.4917228
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 25, 34, 44, 54, 61, 69]",1638528345.4917228
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528345.4917228
Längenfeldgasse,U4,HÜTTELDORF,"[0, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528345.4917228
Längenfeldgasse,U6,FLORIDSDORF,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638528345.4917228
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528345.4917228
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 9, 17, 24, 31, 39, 46, 54, 61, 69]",1638528345.4917228
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 10, 16, 24, 31, 39, 46, 54, 61, 69]",1638528345.4917228
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638528355.850943
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[8, 19, 29, 39, 49, 59, 69]",1638528355.850943
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[7, 13, 21, 29, 36, 44, 51, 59, 65, 66]",1638528355.850943
